Index: 0464 | ID: tt0038559 | Gilda | 1946 | Tomatometer: 90.0 | Link: https://www.imdb.com/title/tt0038559/ | Metascore: N/A
Index: 0496 | ID: tt0104684 | Hard Boiled | 1992 | Tomatometer: 92.0 | Link: https://www.imdb.com/title/tt0104684/ | Metascore: N/A
Index: 0503 | ID: tt0042546 | Harvey | 1950 | Tomatometer: 88.0 | Link: https://www.imdb.com/title/tt0042546/ | Metascore: N/A
Index: 0514 | ID: tt0033704 | Hellzapoppin’ | 1941 | Tomatometer: N/A | Link: https://www.imdb.com/title/tt0033704/ | Metascore: N/A
Index: 0525 | ID: tt0052893 | Hiroshima Mon Amour | 1959 | Tomatometer: 96.0 | Link: https://www.imdb.com/title/tt0052893/ | Metascore: N/A
Index: 0526 | ID: tt0032599 | His Girl Friday | 1940 | Tomatometer: 99.0 | Link: https://www.imdb.com/title/tt0032599/ | Metascore: N/A
Index: 0541 | ID: tt0051745 | Houseboat | 1958 | Tomatometer: 58.0 | Link: https://www.imdb.com/title/tt0051745/ | Metascore: N/A
Index: 0546 | ID: tt0058604 | I Am Cuba | 1964 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0058604/ | Metascore: N/A
Index: 0551 | ID: tt0036027 | I Walked with a Zombie | 1943 | Tomatometer: 85.0 | Link: https://www.imdb.com/title/tt0036027/ | Metascore: N/A
Index: 0557 | ID: tt0042593 | In a Lonely Place | 1950 | Tomatometer: 96.0 | Link: https://www.imdb.com/title/tt0042593/ | Metascore: N/A
Index: 0581 | ID: tt0024188 | Island of Lost Souls | 1932 | Tomatometer: 88.0 | Link: https://www.imdb.com/title/tt0024188/ | Metascore: N/A
Index: 0584 | ID: tt0045920 | It Came from Outer Space | 1953 | Tomatometer: 81.0 | Link: https://www.imdb.com/title/tt0045920/ | Metascore: N/A
Index: 0589 | ID: tt0056111 | Ivan’s Childhood | 1962 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0056111/ | Metascore: N/A
Index: 0594 | ID: tt0063152 | Je T’Aime, Je T’Aime | 1968 | Tomatometer: 89.0 | Link: https://www.imdb.com/title/tt0063152/ | Metascore: N/A
Index: 0598 | ID: tt0052948 | Journey to the Center of the Earth | 1959 | Tomatometer: 84.0 | Link: https://www.imdb.com/title/tt0052948/ | Metascore: N/A
Index: 0604 | ID: tt0116743 | Kama Sutra: A Tale of Love | 1996 | Tomatometer: 42.0 | Link: https://www.imdb.com/title/tt0116743/ | Metascore: 41
Index: 0605 | ID: tt0050585 | Kanal | 1957 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0050585/ | Metascore: N/A
Index: 0610 | ID: tt0041546 | Kind Hearts and Coronets | 1949 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0041546/ | Metascore: N/A
Index: 0611 | ID: tt0070800 | King Boxer | 1972 | Tomatometer: N/A | Link: https://www.imdb.com/title/tt0070800/ | Metascore: N/A
Index: 0614 | ID: tt0048261 | Kiss Me Deadly | 1955 | Tomatometer: 98.0 | Link: https://www.imdb.com/title/tt0048261/ | Metascore: N/A
Index: 0618 | ID: tt0058279 | Kwaidan | 1964 | Tomatometer: 91.0 | Link: https://www.imdb.com/title/tt0058279/ | Metascore: N/A
Index: 0621 | ID: tt0053619 | L’Avventura | 1960 | Tomatometer: 94.0 | Link: https://www.imdb.com/title/tt0053619/ | Metascore: N/A
Index: 0624 | ID: tt0113247 | La Haine | 1995 | Tomatometer: 96.0 | Link: https://www.imdb.com/title/tt0113247/ | Metascore: N/A
Index: 0626 | ID: tt0047528 | La Strada | 1954 | Tomatometer: 98.0 | Link: https://www.imdb.com/title/tt0047528/ | Metascore: N/A
Index: 0631 | ID: tt0054632 | Last Year at Marienbad | 1961 | Tomatometer: 93.0 | Link: https://www.imdb.com/title/tt0054632/ | Metascore: N/A
Index: 0633 | ID: tt0037008 | Laura | 1944 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0037008/ | Metascore: N/A
Index: 0640 | ID: tt0046911 | Les Diaboliques | 1955 | Tomatometer: 95.0 | Link: https://www.imdb.com/title/tt0046911/ | Metascore: N/A
Index: 0644 | ID: tt0040536 | Letter from an Unknown Woman | 1948 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0040536/ | Metascore: N/A
Index: 0659 | ID: tt0048308 | Lola Montès | 1955 | Tomatometer: 82.0 | Link: https://www.imdb.com/title/tt0048308/ | Metascore: N/A
Index: 0669 | ID: tt0022100 | M | 1931 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0022100/ | Metascore: N/A
Index: 0688 | ID: tt1029234 | Martyrs | 2008 | Tomatometer: 64.0 | Link: https://www.imdb.com/title/tt1029234/ | Metascore: N/A
Index: 0709 | ID: tt0037075 | Ministry of Fear | 1944 | Tomatometer: 85.0 | Link: https://www.imdb.com/title/tt0037075/ | Metascore: N/A
Index: 0712 | ID: tt6908274 | Mirage | 2018 | Tomatometer: N/A | Link: https://www.imdb.com/title/tt6908274/ | Metascore: N/A
Index: 0721 | ID: tt0046487 | Monsieur Hulot’s Holiday | 1953 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0046487/ | Metascore: N/A
Index: 0731 | ID: tt0119711 | Mother and Son | 1997 | Tomatometer: 79.0 | Link: https://www.imdb.com/title/tt0119711/ | Metascore: N/A
Index: 0740 | ID: tt0476735 | My Father and My Son | 2005 | Tomatometer: N/A | Link: https://www.imdb.com/title/tt0476735/ | Metascore: N/A
Index: 0756 | ID: tt0050766 | Night of the Demon | 1957 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0050766/ | Metascore: N/A
Index: 0758 | ID: tt0031725 | Ninotchka | 1939 | Tomatometer: 95.0 | Link: https://www.imdb.com/title/tt0031725/ | Metascore: N/A
Index: 0777 | ID: tt0103285 | Once Upon a Time in China | 1991 | Tomatometer: 90.0 | Link: https://www.imdb.com/title/tt0103285/ | Metascore: N/A
Index: 0788 | ID: tt0048452 | Ordet | 1955 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0048452/ | Metascore: N/A
Index: 0790 | ID: tt0041719 | Orpheus | 1950 | Tomatometer: 97.0 | Link: https://www.imdb.com/title/tt0041719/ | Metascore: N/A
Index: 0803 | ID: tt0098061 | Paperhouse | 1988 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0098061/ | Metascore: N/A
Index: 0811 | ID: tt0048473 | Pather Panchali | 1955 | Tomatometer: 98.0 | Link: https://www.imdb.com/title/tt0048473/ | Metascore: N/A
Index: 0814 | ID: tt0054167 | Peeping Tom | 1960 | Tomatometer: 96.0 | Link: https://www.imdb.com/title/tt0054167/ | Metascore: N/A
Index: 0816 | ID: tt0066214 | Performance | 1970 | Tomatometer: 82.0 | Link: https://www.imdb.com/title/tt0066214/ | Metascore: N/A
Index: 0825 | ID: tt0046187 | Pickup on South Street | 1953 | Tomatometer: 93.0 | Link: https://www.imdb.com/title/tt0046187/ | Metascore: N/A
Index: 0826 | ID: tt0048491 | Picnic | 1955 | Tomatometer: 45.0 | Link: https://www.imdb.com/title/tt0048491/ | Metascore: N/A
Index: 0832 | ID: tt1077258 | Planet Terror | 2007 | Tomatometer: 77.0 | Link: https://www.imdb.com/title/tt1077258/ | Metascore: 77
Index: 0841 | ID: tt0030643 | Port of Shadows | 1938 | Tomatometer: 96.0 | Link: https://www.imdb.com/title/tt0030643/ | Metascore: N/A
Index: 0868 | ID: tt0045070 | Rancho Notorious | 1952 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0045070/ | Metascore: N/A
Index: 0888 | ID: tt0056406 | Requiem for a Heavyweight | 1962 | Tomatometer: 89.0 | Link: https://www.imdb.com/title/tt0056406/ | Metascore: N/A
Index: 0900 | ID: tt0058530 | Robinson Crusoe on Mars | 1964 | Tomatometer: 94.0 | Link: https://www.imdb.com/title/tt0058530/ | Metascore: N/A
Index: 0917 | ID: tt0014429 | Safety Last! | 1923 | Tomatometer: 97.0 | Link: https://www.imdb.com/title/tt0014429/ | Metascore: N/A
Index: 0921 | ID: tt0045848 | Sawdust and Tinsel | 1953 | Tomatometer: 91.0 | Link: https://www.imdb.com/title/tt0045848/ | Metascore: N/A
Index: 0929 | ID: tt0114367 | Screamers | 1995 | Tomatometer: 27.0 | Link: https://www.imdb.com/title/tt0114367/ | Metascore: N/A
Index: 0945 | ID: tt0015324 | Sherlock, Jr. | 1924 | Tomatometer: 86.0 | Link: https://www.imdb.com/title/tt0015324/ | Metascore: N/A
Index: 0974 | ID: tt0049778 | Somebody Up There Likes Me | 1956 | Tomatometer: 86.0 | Link: https://www.imdb.com/title/tt0049778/ | Metascore: N/A
Index: 1013 | ID: tt0041931 | Stromboli | 1950 | Tomatometer: 67.0 | Link: https://www.imdb.com/title/tt0041931/ | Metascore: N/A
Index: 1016 | ID: tt0067805 | Sunday Bloody Sunday | 1971 | Tomatometer: 83.0 | Link: https://www.imdb.com/title/tt0067805/ | Metascore: N/A
Index: 1021 | ID: tt0104558 | Supercop | 1992 | Tomatometer: 93.0 | Link: https://www.imdb.com/title/tt0104558/ | Metascore: N/A
Index: 1030 | ID: tt0069341 | Tales from the Crypt | 1972 | Tomatometer: 90.0 | Link: https://www.imdb.com/title/tt0069341/ | Metascore: N/A
Index: 1036 | ID: tt0063678 | Teorema | 1968 | Tomatometer: 83.0 | Link: https://www.imdb.com/title/tt0063678/ | Metascore: N/A
Index: 1038 | ID: tt0096251 | Tetsuo: The Iron Man | 1989 | Tomatometer: 83.0 | Link: https://www.imdb.com/title/tt0096251/ | Metascore: N/A
Index: 1041 | ID: tt0078243 | The 36th Chamber of Shaolin | 1978 | Tomatometer: 83.0 | Link: https://www.imdb.com/title/tt0078243/ | Metascore: N/A
Index: 1043 | ID: tt0053198 | The 400 Blows | 1959 | Tomatometer: 99.0 | Link: https://www.imdb.com/title/tt0053198/ | Metascore: N/A
Index: 1046 | ID: tt0051337 | The 7th Voyage of Sinbad | 1958 | Tomatometer: 100.0 | Link: https://www.imdb.com/title/tt0051337/ | Metascore: N/A
Index: 1047 | ID: tt0112288 | The Addiction | 1995 | Tomatometer: 74.0 | Link: https://www.imdb.com/title/tt0112288/ | Metascore: N/A
Index: 1055 | ID: tt0069738 | The Asphyx | 1972 | Tomatometer: 67.0 | Link: https://www.imdb.com/title/tt0069738/ | Metascore: N/A
Index: 1068 | ID: tt2272350 | The Battery | 2012 | Tomatometer: 78.0 | Link: https://www.imdb.com/title/tt2272350/ | Metascore: N/A
Index: 1070 | ID: tt0045546 | The Beast from 20,000 Fathoms | 1953 | Tomatometer: 91.0 | Link: https://www.imdb.com/title/tt0045546/ | Metascore: N/A
Index: 1075 | ID: tt0045555 | The Big Heat | 1953 | Tomatometer: 94.0 | Link: https://www.imdb.com/title/tt0045555/ | Metascore: N/A
Index: 1078 | ID: tt0044419 | The Big Sky | 1952 | Tomatometer: 89.0 | Link: https://www.imdb.com/title/tt0044419/ | Metascore: N/A
Index: 1080 | ID: tt0065143 | The Bird with the Crystal Plumage | 1970 | Tomatometer: 85.0 | Link: https://www.imdb.com/title/tt0065143/ | Metascore: N/A
